Producto,Marca,Precio,Tienda,Fecha,Medidas
MACETERO DE PLÁSTICO 43X65 CM ARENA,JUST HOME COLLECTION,52990.0,Sodimac,11-02-2026,43X65CM
MACETERO DE CERÁMICA 13X13 CM DISEÑOS SURTIDOS,JUST HOME COLLECTION,2990.0,Sodimac,11-02-2026,13X13CM
SET ORGANIZADOR 3 PEDESTAL PORTA MACETERO DESMONTABLE METAL,ANYHOGAR,25467.0,Sodimac,11-02-2026,
MACETERO NEGRO EFECTO MARMOL AMSTERDAM 44CM ALTO CON PLATO,FLORIDIS,27990.0,Sodimac,11-02-2026,44CM
6 PCS MOLDES DE MACETAS DE PLASTICO CON JARDINERA PALLET,TNAKIEX,11990.0,Sodimac,11-02-2026,
MACETERO DE PLÁSTICO 39.8X31 CM TAUPE,CASA BONITA,9990.0,Sodimac,11-02-2026,8X31CM
SET 2 CANASTOS TANACA,JUST HOME COLLECTION,44990.0,Sodimac,11-02-2026,
MACETERO SIENA DE POLIPROPILENO 30X30 CM DORADO,JUST HOME COLLECTION,7990.0,Sodimac,11-02-2026,30X30CM
CANASTO DECORATIVO HIERBA MARINA 50X45 CM BOHO CHIC HOGAR,JUST HOME COLLECTION,43990.0,Sodimac,11-02-2026,50X45CM
MACETERO CANASTO DELHI DE FIBRA DE VIDRIO 33X28 CM CAFÉ,DECOGREEN,18790.0,Sodimac,11-02-2026,33X28CM
CANASTO DECORATIVO HIERBA MARINA 50X50X35 CM,JUST HOME COLLECTION,28990.0,Sodimac,11-02-2026,50X35CM
MACETERO KONY DE ARCILLA 24X19 CM MOSTAZA DIJON,MESTIZA,16990.0,Sodimac,11-02-2026,24X19CM
MACETERO DE CERÁMICA 34X55 CM ÓXIDO,JAPI,72990.0,Sodimac,11-02-2026,34X55CM
MACETERO ESTILO PIEDRA CUADRADA DE PLÁSTICO 30X30 CM TAUPE,REYPLAST,20990.0,Sodimac,11-02-2026,30X30CM
BANDEJA DE GERMINACIÓN PREPARACION CULTIVOS HIDROPÓNICOS,GENERICO,7490.0,Sodimac,11-02-2026,
MACETERO KONY DE ARCILLA 15X12 CM MOSTAZA DIJON,MESTIZA,9490.0,Sodimac,11-02-2026,15X12CM
MACETERO 13X13 CM NEGRO CASA VIVA,GENERICO,9990.0,Sodimac,11-02-2026,13X13CM
MACETERO CILINDRO DE ARCILLA 13X13 CM GRAFITO Y DORADO,DECOGREEN,8290.0,Sodimac,11-02-2026,13X13CM
MACETERO GRANDE DE POLIETILENO 40.6X35.6 PERLA,POTTERY,29990.0,Sodimac,11-02-2026,
MACETERO GRANDE DE POLIETILENO 40.6X35.6 GRIS,POTTERY,29990.0,Sodimac,11-02-2026,
MACETERO GRAFITO JARDINERA 25CM ALTO CON PLATO,FLORIDIS,34990.0,Sodimac,11-02-2026,25CM
MACETERO GRANDE DE POLIETILENO 40.6X39.4 PERLA,POTTERY,44990.0,Sodimac,11-02-2026,
MACETERO GRANDE DE POLIETILENO 35.6X33 CREMA,POTTERY,36990.0,Sodimac,11-02-2026,
MACETERO MACETA DE CERAMICA BLANCO LINEAS VERTICALES M,GENERICO,9900.0,Sodimac,11-02-2026,
PACK 12 ALMACIGUERAS BANDEJAS RÍGIDAS 200 CAVIDADES,ATURE,14990.0,Sodimac,11-02-2026,
MACETEROS MACETA DE CERAMICA COPON LINEAS GRIS MATE S,GENERICO,5990.0,Sodimac,11-02-2026,
MACETERO GRANDE DE POLIETILENO 40.6X38.1 NEGRO,POTTERY,44990.0,Sodimac,11-02-2026,
MACETERO GRANDE DE POLIETILENO 40.6X39.4 NEGRO,POTTERY,44990.0,Sodimac,11-02-2026,
MACETA SEASIDE 28CM OVALADA BLANCO TROPEA,DEROMA,32990.0,Sodimac,11-02-2026,28CM
MACETERO 22X22 CM NEGRO CASA VIVA,GENERICO,12990.0,Sodimac,11-02-2026,22X22CM
MACETERO 35X15 CM BEIGE CASA VIVA,GENERICO,9690.0,Sodimac,11-02-2026,35X15CM
MACETERO GRANDE DE POLIETILENO 30.5X59.7 CM GRIS,POTTERY,47990.0,Sodimac,11-02-2026,7CM
MACETERO 30X52 CM NEGRO CASA VIVA,GENERICO,41990.0,Sodimac,11-02-2026,30X52CM
MACETERO 21X23 CM NEGRO CASA VIVA,GENERICO,7990.0,Sodimac,11-02-2026,21X23CM
MACETERO 35X15 CM AZUL CASA VIVA,GENERICO,9690.0,Sodimac,11-02-2026,35X15CM
MACETERO DE MADERA CUADRADO GRANDE,GENERICO,30990.0,Sodimac,11-02-2026,
MACETERO CEMENTO MODELO BERLIN 41CM ALTO CON PLATO,FLORIDIS,40990.0,Sodimac,11-02-2026,41CM
MACETA SEASIDE 28CM CÓNICA NEGRO CAPRI,DEROMA,32990.0,Sodimac,11-02-2026,28CM
MACETEROS MACETA DE CERAMICA ESTILO COPON BLANCO MATE M,GENERICO,9900.0,Sodimac,11-02-2026,
MACETERO GRANDE DE POLIETILENO 40.6X35.9 BRONCE,POTTERY,44990.0,Sodimac,11-02-2026,
MACETERO CEMENTO MODELO BERLIN 31CM ALTO CON PLATO,FLORIDIS,31990.0,Sodimac,11-02-2026,31CM
MACETERO NEGRO MODELO BERLIN 31CM ALTO CON PLATO,FLORIDIS,31990.0,Sodimac,11-02-2026,31CM
MACETERO GRANDE DE POLIETILENO 40.6X38.3 CM BRONCE,POTTERY,27990.0,Sodimac,11-02-2026,3CM
MACETEROS MACETA DE CERAMICA COPON LINEAS GRIS MATE M,GENERICO,9900.0,Sodimac,11-02-2026,
MACETERO GRANDE DE POLIETILENO 40.6X35.6 CM GRAFITO,POTTERY,27990.0,Sodimac,11-02-2026,6CM
MACETA PRIMITIVO CÓNICA 36CM GRAFITO,DEROMA,32990.0,Sodimac,11-02-2026,36CM
MACETERO MACETA DE CERAMICA BLANCO LINEAS VERTICALES S,GENERICO,6990.0,Sodimac,11-02-2026,
MACETA SEASIDE 23CM OVALADA BLANCO TROPEA,DEROMA,22990.0,Sodimac,11-02-2026,23CM
MACETERO GRANDE DE POLIETILENO 35.6X33 GRIS,POTTERY,36990.0,Sodimac,11-02-2026,
MACETA SEASIDE 28CM CÓNICA BLANCO TROPEA,DEROMA,32990.0,Sodimac,11-02-2026,28CM
MACETERO CUADRADO M COLOR NEGRO,VADELL,69990.0,Sodimac,11-02-2026,
PACK DE 2 PEDESTALES PARA 2 MACETAS METÁLICO BLANCO,GENERICO,36990.0,Sodimac,11-02-2026,
MACETERO OVALADO L COLOR GRIS,VADELL,46990.0,Sodimac,11-02-2026,
