Producto,Precio,Tienda,Fecha,Medidas
MACETERO DECORACIÓN BICICLETA MADERA PORTA MACETAS JARDIN,46540.0,Mercado Libre,11-02-2026,
PORTA MACETERO PEDESTAL MACETA PLANTAS NEGRO DORADO,18905.0,Mercado Libre,11-02-2026,
1 PCSX BASES FOR HERRERÍA PLANT PORTA MACETAS NEGRO,4690.0,Mercado Libre,11-02-2026,
CRUZ MACETERO MACETA CON PEDESTAL AJUSTABLE NEGRO 24 - 36 CM,12373.0,Mercado Libre,11-02-2026,36CM
MACETERO M50 DISTINTOS COLORES 47 L MORADO,10990.0,Mercado Libre,11-02-2026,
"PORTA MACETA DE MADERA CON RUEDAS, BASE CIRCULAR, 2 UNIDADES MARRÓN CIRCULAR",13400.0,Mercado Libre,11-02-2026,
SET 7 BASES PARA MACETEROS DE HERRERÍA PLANTAS PORTA MACETAS,18050.0,Mercado Libre,11-02-2026,
100 MACETEROS FLEXIBLES VIVERO 10X8CM TERRACOTA KIT INICIAL TERRACOTA,9980.0,Mercado Libre,11-02-2026,10X8CM
PACK 5 MACETEROS PLÁSTICO REDONDO 21CM VIC 21VIC,8990.0,Mercado Libre,11-02-2026,21CM
MACETERO GRANDE PLÁSTICO DURO 50 CM MARRÓN LISO,12500.0,Mercado Libre,11-02-2026,50CM
MACETERO DISEÑO PIXELADO CÚBICO GRIS OSCURO,7990.0,Mercado Libre,11-02-2026,
PACK 50 MACETEROS MINI PLÁSTICO DURO PEQUEÑO N° 5 SUCULENTAS BLANCO,13990.0,Mercado Libre,11-02-2026,
"PACK DE 2 MACETAS CON PLANTA PARA DECORACIÓN, MARCA HOMEY BLANCO",6990.0,Mercado Libre,11-02-2026,
MACETERO CUADRADO 36CM DE PLÁSTICO KD9941,13900.0,Mercado Libre,11-02-2026,36CM
MACETERO 27X30 CM BEIGE CASA VIVA,7990.0,Mercado Libre,11-02-2026,27X30CM
2PCS PORTA MACETAS MADERA 35X35CM SOPORTES BASE CON RUEDAS,12162.0,Mercado Libre,11-02-2026,35X35CM
MACETERO REDONDO MEDIANO 33CM BOCA EXTERIOR PLASTICO DURO MARRÓN MEDIANO M,6200.0,Mercado Libre,11-02-2026,33CM
"PACK DE 3 MACETAS CON SUCULENTAS DECORATIVAS, MARCA HOMEY MOD-3",6590.0,Mercado Libre,11-02-2026,
MACETERO PARA ORQUÍDEAS M TRANSPARENTE + SUSTRATO,29990.0,Mercado Libre,11-02-2026,
SOPORTE PARA 8 MACETAS ESTANTE JARDINERA HUERTO PLANTAS,19980.0,Mercado Libre,11-02-2026,
MACETERO REDONDO PEQUEÑO 29CM BOCA EXTERIOR PLASTICO DURO MARRÓN PEQUEÑO S,5600.0,Mercado Libre,11-02-2026,29CM
EXHIBICIÓN MACETERO DE BAMBÚ CON 9 REPISAS,49980.0,Mercado Libre,11-02-2026,
MACETERO ALTO DE FIERRO 53CM CON PEDESTAL XG2401,8500.0,Mercado Libre,11-02-2026,53CM
PACK 10 MACETEROS PLÁSTICO DURO NÚMERO 14 TERRACOTA REDONDO LISO,7990.0,Mercado Libre,11-02-2026,
MACETERO PLASTICO CUADRADO 30CM CON RUEDAS JARDIN PLANTAS,9990.0,Mercado Libre,11-02-2026,30CM
"PACK DE 4 MACETEROS DE ANIMALITOS PARA SUCULENTAS, SURTIDOS. BLANCO",9990.0,Mercado Libre,11-02-2026,
MACETERO PARA ORQUÍDEAS: TRANSLÚCIDO NIDO PRISMA S FRGROUP GRIS NIDO PRISMA,6640.0,Mercado Libre,11-02-2026,
ESTANTERÍA PARA PLANTAS DE VARIOS NIVELES NEGRO,18900.0,Mercado Libre,11-02-2026,
PORTA MACETERO PEDESTAL SOPORTE PLANTAS 2 NIVELES EXHIBICIÓN BLANCO PEDESTAL BLANCO,13490.0,Mercado Libre,11-02-2026,
MACETERO PLÁSTICO REDONDO 50 CM GRANDE / MACETA NEGRO,12990.0,Mercado Libre,11-02-2026,50CM
"PACK X6 MACETEROS DE PLÁSTICO AMALFI PREMIUM N27 9,5 LITROS",19164.0,Mercado Libre,11-02-2026,
MACETERO MURALLA PALMA DE COCO PAK 3 UNIDADES 24CMS MARRÓN CLARO PARED,11480.0,Mercado Libre,11-02-2026,24CM
MACETERO RECTANGULAR 74X34X65 CM BLANCO CASA VIVA BLANCO,42990.0,Mercado Libre,11-02-2026,34X65CM
PACK 5 PLATO BASE MACETERO REDONDO INTERIOR 35CM N°50,15490.0,Mercado Libre,11-02-2026,35CM
"MINI MACETERO DE CERAMICA CIRCULAR, PACK DE 6 COLOR VARIADOS LISO",11990.0,Mercado Libre,11-02-2026,
MACETEROS FLORAL 25CM PACK 5 JARDIN AF-25,10990.0,Mercado Libre,11-02-2026,25CM
1 GANCHO DE PARED PARA PLANTAS Y LUCES COLGANTES EN MACETAS,6999.0,Mercado Libre,11-02-2026,
"PACK DE 3 MACETAS CON PLANTAS ARTIFICIALES COLGANTES, HOMEY VERDE",14990.0,Mercado Libre,11-02-2026,
MODERNOS MACETEROS DE PARED COLGANTE 35X35 ESTILO,18000.0,Mercado Libre,11-02-2026,
PLATO PARA MACETEROS GRANDES DIAMETRO 50 CM RESISTENTES,23028.0,Mercado Libre,11-02-2026,50CM
MACETERO 74CM GRAFIATO CÓNICO DE PLÁSTICO KD9954,34900.0,Mercado Libre,11-02-2026,74CM
PEDESTAL PARA 3 PLANTAS / PORTA MACETEROS METALICO - NORPLAT BLANCO LISA,19980.0,Mercado Libre,11-02-2026,
SET ORGANIZADOR 3 PEDESTAL PORTA MACETERO DESMONTABLE NEGRO NEGRO,17782.0,Mercado Libre,11-02-2026,
